env_name,par1,par2,median_fitness
Hill,5.0,2.2,2531.0088813245757
Hill,10.0,2.2,3524.212818721904
Hill,15.0,2.2,3958.0772081685427
Hill,20.0,2.2,4287.51311206203
Hill,5.0,2.4,2476.5894351813913
Hill,10.0,2.4,3433.2608971288882
Hill,15.0,2.4,3810.7464017521256
Hill,20.0,2.4,4194.015516869484
Hill,5.0,3.0,1781.9065542675194
Hill,10.0,3.0,2711.0038540799933
Hill,15.0,3.0,3384.4190575159837
Hill,20.0,3.0,3851.3472064106327
Hill,5.0,3.2,1608.5444877407817
Hill,10.0,3.2,2603.0706451376336
Hill,15.0,3.2,3293.794553808133
Hill,20.0,3.2,3759.3347638823434
Hill,5.0,3.8,1279.21058860316
Hill,10.0,3.8,1831.5203192799956
Hill,15.0,3.8,2749.567490282819
Hill,20.0,3.8,3416.700252984002
Hill,5.0,4.0,1164.3320116139853
Hill,10.0,4.0,1777.5749522712622
Hill,15.0,4.0,2617.5655721048597
Hill,20.0,4.0,3195.2876676677615
Rough,1.0,0.1,3713.868440319473
Rough,2.0,0.1,3811.389285753055
Rough,3.0,0.1,3995.8330297405746
Rough,4.0,0.1,3936.8006902047478
Rough,1.0,0.2,3454.7654957627246
Rough,2.0,0.2,3473.1660951464037
Rough,3.0,0.2,3515.568219500956
Rough,4.0,0.2,3770.1189281159063
Rough,1.0,0.5,2200.7449141135803
Rough,2.0,0.5,2320.3514382706735
Rough,3.0,0.5,2523.1072194077915
Rough,4.0,0.5,2701.8751856406298
Rough,1.0,0.6,1990.1999443471054
Rough,2.0,0.6,2008.6017543586938
Rough,3.0,0.6,2233.6241370663365
Rough,4.0,0.6,2391.011467547091
Rough,1.0,0.9,1333.3123603538706
Rough,2.0,0.9,1364.5276889583897
Rough,3.0,0.9,1514.334960604388
Rough,4.0,0.9,1693.0499451224052
Rough,1.0,1.0,1149.8720565227795
Rough,2.0,1.0,1231.4239092077628
Rough,3.0,1.0,1309.2309055085043
Rough,4.0,1.0,1462.1820634557625
Default,,,3906.8408407165443
Hill,5.0,2.6,2230.4123943353616
Hill,10.0,2.6,3264.2836881466396
Hill,15.0,2.6,3731.1409626121413
Hill,20.0,2.6,4086.0050933160383
Hill,5.0,2.8,2040.1391021971667
Hill,10.0,2.8,2902.5808198024706
Hill,15.0,2.8,3673.314811104056
Hill,20.0,2.8,3928.4190571275003
Hill,5.0,3.4,1533.5357482613535
Hill,10.0,3.4,2317.9029214211787
Hill,15.0,3.4,3138.6506069993147
Hill,20.0,3.4,3637.7644899980587
Hill,5.0,3.6,1362.8090147086896
Hill,10.0,3.6,2112.4790989958283
Hill,15.0,3.6,2963.1030144194356
Hill,20.0,3.6,3521.7669604411963
Rough,1.0,0.3,2878.0986019899074
Rough,2.0,0.3,3073.731227214271
Rough,3.0,0.3,3309.4584664217746
Rough,4.0,0.3,3374.034793007401
Rough,1.0,0.4,2544.552543375028
Rough,2.0,0.4,2681.799954013816
Rough,3.0,0.4,2865.5493647566277
Rough,4.0,0.4,3017.3676674951657
Rough,1.0,0.7,1711.4689242421482
Rough,2.0,0.7,1822.9640144071946
Rough,3.0,0.7,1971.8072493029767
Rough,4.0,0.7,2143.625086120861
Rough,1.0,0.8,1498.778823185649
Rough,2.0,0.8,1541.6535158178767
Rough,3.0,0.8,1751.5171362428598
Rough,4.0,0.8,1874.030105574404
