run_folder,fitness_test,fitness_training
OurAlgo-MorphEvo-Gen_2438_10-01_15-00-56-141204,2429.993658391372,2450.294480307098
OurAlgo-MorphEvo-Gen_2317_11-01_04-51-54-750853,2301.7526691527414,2339.6227066610427
OurAlgo-MorphEvo-Gen_2256_11-01_08-59-55-649108,2240.698710470651,2278.8094867121445
OurAlgo-MorphEvo-Gen_2434_10-01_15-05-21-103236,2441.5760369132354,2422.3690471669015
OurAlgo-MorphEvo-Gen_2543_12-01_00-13-45-686302,2544.666756057403,2539.943411884011
OurAlgo-MorphEvo-Gen_3003_11-01_12-37-17-245403,2975.3190295758236,3043.8300403966255
OurAlgo-MorphEvo-Gen_2465_13-01_00-11-45-172689,2445.600695120131,2492.1249806036976
OurAlgo-MorphEvo-Gen_2648_10-01_02-31-19-493816,2640.808791713121,2657.473286322428
OurAlgo-MorphEvo-Gen_2682_11-01_03-59-16-101353,2651.533553294223,2726.8086112947117
OurAlgo-MorphEvo-Gen_2402_10-01_22-33-24-436425,2398.322914471554,2408.0755134093015
OurAlgo-MorphEvo-Gen_2573_11-01_10-08-47-344664,2574.9891923902665,2570.4706090264667
OurAlgo-MorphEvo-Gen_2894_10-01_09-42-09-765212,2862.8309656695787,2938.870026094435
OurAlgo-MorphEvo-Gen_2427_10-01_01-57-56-001707,2408.757840182826,2452.3717993102005
OurAlgo-MorphEvo-Gen_2613_11-01_17-20-09-390896,2620.2141248532894,2603.341298699064
OurAlgo-MorphEvo-Gen_2486_10-01_22-39-13-997369,2480.82726766726,2492.765974045085
OurAlgo-MorphEvo-Gen_2719_11-01_05-23-56-502532,2701.5041270297356,2743.6874518694854
OurAlgo-MorphEvo-Gen_2576_11-01_23-40-23-624729,2568.3974803025967,2586.0942897239947
OurAlgo-MorphEvo-Gen_2875_10-01_08-13-18-312832,2880.0128999297135,2868.877620417922
OurAlgo-MorphEvo-Gen_1909_10-01_21-36-57-673433,1927.4732374928988,1881.9691573439181
OurAlgo-MorphEvo-Gen_2428_11-01_05-24-48-090558,2446.0850523883387,2401.4768042273854
OurAlgo-MorphEvo-Gen_2829_10-01_15-51-59-735377,2816.4761027629265,2848.2966732829705
OurAlgo-MorphEvo-Gen_2643_10-01_15-35-59-124702,2619.47053076342,2676.9988222431034
OurAlgo-MorphEvo-Gen_2486_09-01_19-37-37-955102,2457.257863107948,2526.7177397879454
OurAlgo-MorphEvo-Gen_1679_12-01_19-03-14-857362,1714.3690516521647,1627.6035769822593
OurAlgo-MorphEvo-Gen_2147_11-01_02-13-09-838480,2150.684255880709,2140.5678567965538
OurAlgo-MorphEvo-Gen_2749_09-01_19-37-15-089567,2746.1545937994656,2752.736122691302
OurAlgo-MorphEvo-Gen_3081_10-01_20-43-02-976448,3089.4135025507244,3068.292015939903
OurAlgo-MorphEvo-Gen_2832_10-01_15-05-17-843946,2837.4010743796503,2824.007601613254
OurAlgo-MorphEvo-Gen_2302_11-01_15-25-17-623369,2307.0447161536754,2294.772079728783
OurAlgo-MorphEvo-Gen_2930_10-01_22-28-50-448378,2900.423742748686,2973.1367700337396
