fitness,split
3142.953180253981,test
4345.789055604528,test
4673.071276694196,test
4889.339711040627,test
2964.1974836167674,test
4163.569000403218,test
4630.833910876791,test
4747.036144139297,test
1970.9728682607822,test
3749.2172585836847,test
4384.9015303912565,test
4620.127093760336,test
1731.4312648906498,test
3464.309594546952,test
4246.556732684791,test
4635.8976027939525,test
1359.1859316009409,test
2713.3653010393487,test
3887.692731569387,test
4365.153840158483,test
1190.2482312328646,test
2377.7376728527283,test
3577.5088731939713,test
4223.892026910436,test
3641.1344797385673,test
3682.566772167694,test
3649.5444928376664,test
4109.736743234458,test
3305.2442548641634,test
3787.0435277544393,test
3661.298803705513,test
3920.099738975493,test
2376.9888292665555,test
2451.8445253930163,test
2800.6509465628133,test
3023.062824431297,test
2285.270702982664,test
2206.08416504144,test
2580.5725256963406,test
2638.142191378874,test
1380.2499306484924,test
1482.1573754544593,test
1636.3257357988828,test
1765.988650728017,test
1332.5029749896732,test
1395.4926031983684,test
1583.4464901063382,test
1541.41052037956,test
4564.4475401423515,train
2386.4353163651126,train
3971.7618603764477,train
4300.76394788407,train
4857.342602137389,train
1930.8451275019765,train
3828.6360394337034,train
4466.341599930098,train
4706.1901522066055,train
1502.4228640353074,train
3169.328228710002,train
4077.3823086339903,train
4548.3472459824325,train
1297.8069269423934,train
2829.7310876994393,train
3978.754934365387,train
4436.647777136952,train
2961.0239166862375,train
3441.3274417340685,train
3323.576539372735,train
3418.1576422481426,train
2700.4363185560333,train
2863.0723661699844,train
2897.7792631630355,train
3025.6636598570963,train
1976.6393139201177,train
1942.5214810694292,train
2357.3549928961634,train
2091.8550820735018,train
1684.8989189855722,train
1879.1423782603863,train
1849.3525259537953,train
1987.6491255868445,train
