Run Folder,P1 max fitness,P2 max fitness,P3 max fitness
OurAlgo-LargeMorph-Gen_2376_25-12_04-49-34-608574,2583.2716534981937,2547.12650621054,2355.2068767124306
OurAlgo-LargeMorph-Gen_2423_22-12_20-55-17-177134,2601.7061985153823,2294.746818945582,2625.904613175972
OurAlgo-LargeMorph-Gen_2428_23-12_01-23-50-178600,3151.83085512095,1691.7742792804554,
OurAlgo-LargeMorph-Gen_2495_23-12_18-08-58-588678,3089.813390731383,2089.732759652029,
OurAlgo-LargeMorph-Gen_2537_22-12_11-45-33-718124,2988.307674427867,2092.642468833318,1986.1801212586192
OurAlgo-LargeMorph-Gen_2573_23-12_09-32-17-142174,3348.161970973773,1701.2622236366356,2097.546869050133
OurAlgo-LargeMorph-Gen_2674_24-12_19-08-03-031819,3255.697585542324,2292.9539892758758,2491.053249920517
OurAlgo-LargeMorph-Gen_2681_22-12_11-49-29-620396,3446.424437004508,1018.1607963054784,2900.8805341627285
OurAlgo-LargeMorph-Gen_2722_23-12_18-10-17-609063,3196.125319594857,2141.1041210690373,2327.5317397485533
OurAlgo-LargeMorph-Gen_2772_24-12_19-07-59-749282,3291.4602416327693,1835.1578561780775,2738.1935336859115
OurAlgo-LargeMorph-Gen_2776_25-12_06-37-20-891678,3215.852986508761,2327.9864588559067,2513.98014316091
OurAlgo-LargeMorph-Gen_2788_23-12_10-34-17-530087,3239.6396200510662,2505.827393801801,2440.6421504353334
OurAlgo-LargeMorph-Gen_2836_22-12_11-44-56-597003,3586.69492467562,1879.5097920643375,2442.950872201022
OurAlgo-LargeMorph-Gen_2931_23-12_07-45-37-400385,3668.24461158682,1963.503399912965,2032.906651123984
OurAlgo-LargeMorph-Gen_2985_24-12_19-04-04-494722,3497.700225966656,2757.25987786676,3015.851617351072
OurAlgo-LargeMorph-Gen_2998_23-12_23-12-28-091298,3847.528366586156,2306.048306961136,1104.2242822552523
OurAlgo-LargeMorph-Gen_3011_25-12_08-31-41-384496,3330.602146936223,994.2787890616542,3175.310994130101
OurAlgo-LargeMorph-Gen_3016_25-12_09-05-04-542677,3946.267444399585,1841.4074247604128,
OurAlgo-LargeMorph-Gen_3034_23-12_17-53-34-291180,3455.34279717146,2845.284939229613,1097.1106150485607
OurAlgo-LargeMorph-Gen_3037_22-12_22-00-56-829460,3949.037662712505,2157.1556499543035,1141.11110084059
OurAlgo-LargeMorph-Gen_3037_22-12_22-47-01-605901,3603.2290945840095,2097.36932659931,1022.6765686364336
OurAlgo-LargeMorph-Gen_3040_23-12_11-09-13-487693,3697.423461953911,2435.372763946062,1081.0712936408515
OurAlgo-LargeMorph-Gen_3121_24-12_19-03-37-973721,3834.18413637085,1635.6654863675176,2836.384373927121
OurAlgo-LargeMorph-Gen_3220_23-12_07-24-32-629239,3929.31374606966,2326.281713741048,1132.912932793821
OurAlgo-LargeMorph-Gen_3252_24-12_19-03-37-973365,3823.5075673659007,2699.867404584982,2054.353567937946
OurAlgo-LargeMorph-Gen_3269_22-12_11-49-29-620044,3729.891622247484,2221.878934061041,2635.734472434637
OurAlgo-LargeMorph-Gen_3296_25-12_03-35-33-661310,3819.855188049249,1032.6213135223772,1807.6500792193265
OurAlgo-LargeMorph-Gen_3316_22-12_21-44-42-382342,3933.099322362044,2405.5671692753363,1079.2878652938653
OurAlgo-LargeMorph-Gen_3442_22-12_11-45-31-814407,3984.451674399618,2338.5455059046008,1070.1116322743178
OurAlgo-LargeMorph-Gen_3456_24-12_00-26-02-231303,3991.39778940835,1624.1484852297897,3540.003558459356
