mean_eval,median_eval,pop_best_eval
1.3604143747848487,1.4082450589532025,2.5471591869576793
1.7984963970711787,1.6675640961013163,3.958672375990778
1.6863350336803848,1.7795845332214228,3.6714483319617677
1.2748517259465901,1.3096773203948042,2.3256668394006175
1.4062954544034294,1.2920628786149986,3.7084279870835712
1.5578398647772853,1.4856427482095134,3.219730171707856
1.5959027494545697,1.566105519374652,3.2586936129774333
1.6353367648274866,1.4696692132690652,3.3457854965071925
1.5653297039679168,1.5516713504691628,3.1523248098353083
1.4729656292929072,1.369181745394148,2.9710744867674883
1.2639028065236937,1.1288174382752802,2.772715007549931
1.4542646074717458,1.3587364751091717,3.536041908422371
1.2281317662504174,1.2061294989956521,3.1658203108088268
1.585709331284992,1.518965282311679,3.8513887720035593
1.3985350137951653,1.4221503536499014,2.5883960278964033
1.8566634739205037,2.2174369704861325,2.979018593093927
1.7196231414664276,1.8445174052847262,3.3908002446174166
1.6331356106577872,1.4937335990610126,3.244012145288856
1.7015338167833947,1.730248960143089,3.3658644224262773
1.8436659006434593,2.0369881880373533,3.292190295607107
1.5979676569282815,1.5514050703055768,3.4727157899622143
1.4972932033801447,1.4788115562702207,3.168216735914992
1.5068985066464746,1.552573535757681,3.1489918342121213
1.7693278314739975,1.7521240516069922,3.3006367902300013
1.608688884856028,1.5769221022976618,3.731874598576856
1.3672147840055884,1.3383817306241432,2.968545995715091
1.4622099268107105,1.564761609176793,3.2006952459074958
1.5695486294208139,1.4697163395387973,3.3104595558605547
1.5741406338680937,1.7139793499766856,3.1691865965518007
1.4881660082746246,1.3455716501430657,3.079272932428628
1.675414493679284,1.5961584773335273,3.116184892044661
1.5446538128978144,1.5534011255219504,2.8724498321859597
1.7147502846504439,1.9543026471533802,2.9147369622973995
1.632130916714963,1.4922186385690686,3.4917620280644615
1.6158288039261195,1.6777177992596588,2.7788001523906583
1.3922850863438518,1.4596344888425412,2.7282296109653874
1.649049742095641,1.4662331125231765,3.579638711983655
1.429849082139061,1.2185015494420006,2.841641010002424
1.7219574373562823,1.848181270638833,3.421577128566725
1.6758102826919523,1.5556944254156173,3.2605360387206845
1.7226047782055616,1.689747068602156,2.8857725991428063
1.5433167535917014,1.6814072665462558,2.7123365236554418
1.7518098327836336,1.9503929787419958,3.1488716562628136
1.8381888672269289,2.1728416085781777,3.3449702889444826
1.4849397584551316,1.558237687946019,2.9690844153851117
1.7980407623573047,1.8444949397399117,3.706465910577327
1.8188428446208604,1.7703242198182108,3.3981599842519783
1.345734095612485,1.348790133080505,3.362980704471392
1.5528613718957076,1.6068512827216066,2.589616023160005
1.7431617782646027,1.7639660989442905,3.926712874998919
1.6531430899035184,1.4733039729068405,2.632578236723897
1.9889226300062128,2.0050767123439397,3.485723520014172
1.7754095840523383,1.7295512525955696,2.9400906614710314
1.5925011491710115,1.928196431963963,2.6522627592787353
1.9003767000623637,1.8523411844690005,3.258319903509788
1.7682496984877514,1.7330184800205402,3.4851039876824546
1.687312941797329,1.503350227215088,3.1963587286333763
1.7049910260928847,1.8492499960132052,3.282587496355804
1.636560238397587,1.6627665865726995,3.289367608190453
1.7461763929239436,1.9995298806410553,2.7959220573145007
1.769463677550317,1.7372199756494524,3.424949627325894
1.8573906846421164,1.9295978039180866,3.314305759656912
1.4133002801078203,1.4181211934090694,3.0362685905683193
1.8653033232626963,1.9177113827202124,3.230128300081035
1.8652937999054005,1.9441971975509558,3.7270683848817754
1.8494078233961293,1.8360577003026743,3.4420024576854606
1.8538972970238903,1.8717593448877743,3.4169225291947427
1.7628369392792866,1.7690955481375679,3.202375372403994
1.5107452381255198,1.417279882821103,2.788378354260896
1.5027733183082068,1.4573611476249273,3.243228229960312
1.6614087978680523,1.8924631025133571,3.1962124196188477
1.4212701754979988,1.5188229776501394,2.8575538066464237
1.2604345071213305,1.3124375438220401,2.929984092001705
1.7412355540932725,1.8882217899139544,2.9557468785668455
1.6011608298816893,1.8248622958253558,3.1987347171275027
1.8971580449553773,2.1506365246600883,3.6805028930509023
1.599426121093411,1.5921010027238995,3.088366586469329
1.5108153738836263,1.188807193332826,3.3081629542013973
1.1692784514536285,1.0495200502127315,3.1050296978854384
1.9036934379212265,1.849690276372208,3.360213608128888
1.193874789933588,1.1714971488716306,2.262808410600245
1.4390617512319546,1.435800257098094,2.7981782201000494
1.53693489527257,1.510100255348995,2.5920973204747213
1.6951582213958214,1.5285610536141248,3.7120336320703657
1.67705201669695,1.5405306844914848,3.173540407409325
1.7571355910798836,1.7455132154946975,3.248517506577293
1.5709587752926708,1.5584164318609437,3.6763834795751142
1.602824860720367,1.9197362993408333,2.738814771944961
1.6022552295110288,1.430032581808679,3.461413912996613
1.6987028901511152,1.7582527039310452,2.9084362554798986
1.4633324815472657,1.5462643929403785,2.9266637017538177
1.758510014103774,1.635010597251233,3.6536815484416616
1.7667121735348996,1.7807498565844242,2.9112717069931326
1.6973576813733473,1.5960584349685438,3.1935711088619465
1.733648476902338,1.8093618433682526,3.241289885556075
1.4723635013670775,1.3790338594924183,3.107213387555861
1.8592802634113546,1.861477339766566,3.4691861229225442
1.6541518227221828,1.4934091240816507,3.2482932893224126
1.621495455843396,1.562905399673095,3.455531366938512
1.814187153737533,1.8220100979656941,3.316655897982926
